Frequency[MHz],Re[Z_Ohm],Im[Z_Ohm]
1.000000,0.050097,0.735461
1.015495,-0.013388,0.577770
1.031230,0.065221,0.767329
1.047209,0.152770,0.826476
1.063436,-0.022934,0.742962
1.079914,-0.022918,0.900171
1.096647,0.158433,0.646153
1.113639,0.077271,0.610279
1.130895,-0.046403,0.568259
1.148418,0.054817,0.907298
1.166213,-0.045763,0.834872
1.184284,-0.045976,0.775800
1.202634,0.024812,0.821464
1.221269,-0.190693,0.693215
1.240193,-0.171837,1.062826
1.259409,-0.055554,0.843853
1.278924,-0.100587,0.854748
1.298741,0.032142,0.929462
1.318865,-0.090062,0.918265
1.339301,-0.140467,0.906038
1.360053,0.147352,0.818296
1.381127,-0.021766,0.958397
1.402528,0.007590,1.113575
1.424260,-0.141612,1.074256
1.446329,-0.053548,1.113596
1.468740,0.012010,0.917945
1.491498,-0.114153,0.885124
1.514609,0.038546,0.986757
1.538078,-0.059057,1.020396
1.561910,-0.028131,1.139971
1.586112,-0.059100,0.877277
1.610689,0.186332,1.215698
1.635647,-0.000211,1.063413
1.660991,-0.104597,1.053252
1.686728,0.083465,1.011715
1.712864,-0.120836,0.964689
1.739405,0.022174,1.230008
1.766357,-0.194639,1.172811
1.793727,-0.131449,1.054547
1.821520,0.021098,1.072380
1.849745,0.075303,1.186938
1.878407,0.018638,1.406336
1.907513,-0.010016,1.232685
1.937070,-0.028514,1.127839
1.967085,-0.146205,1.273390
1.997565,-0.070286,1.290811
2.028517,-0.044313,1.068825
2.059949,0.107518,1.353832
2.091868,0.036224,1.357238
2.124281,-0.174384,1.471348
2.157197,0.034389,1.608351
2.190623,-0.036466,1.558177
2.224567,-0.065586,1.441040
2.259036,0.063340,1.380031
2.294040,0.105340,1.771128
2.329586,0.095438,1.543181
2.365683,-0.081540,1.562483
2.402340,-0.028465,1.582878
2.439564,0.035660,1.629676
2.477365,0.100167,1.620389
2.515752,-0.045223,1.602804
2.554733,-0.015788,1.631222
2.594319,-0.107769,1.708771
2.634518,-0.116666,1.684247
2.675340,0.084299,1.694261
2.716794,0.138766,1.803562
2.758891,-0.003961,1.795220
2.801640,0.103695,1.999348
2.845052,0.039610,1.612520
2.889136,-0.060958,2.015882
2.933903,0.039804,2.060906
2.979364,0.157583,1.758984
3.025529,0.000315,1.962545
3.072410,0.160484,1.990635
3.120017,-0.257830,1.918474
3.168361,0.086465,2.013378
3.217455,0.013113,2.012533
3.267310,-0.025355,2.331752
3.317937,0.013864,2.283539
3.369348,-0.193922,2.351092
3.421556,-0.016982,2.330597
3.474573,0.040853,2.180555
3.528412,0.153092,2.276582
3.583085,-0.046359,2.414098
3.638605,-0.075210,2.279637
3.694985,-0.044361,2.510409
3.752239,0.097537,2.452915
3.810380,0.039060,2.477892
3.869422,-0.046598,2.625495
3.929379,0.057904,2.638456
3.990264,0.016491,2.598181
4.052094,0.103860,2.791085
4.114881,-0.062991,2.608556
4.178641,-0.025327,2.820412
4.243389,-0.031538,2.860941
4.309140,-0.138439,2.814155
4.375911,0.037772,2.921878
4.443715,0.034521,2.808996
4.512571,0.009190,3.072052
4.582493,-0.014509,3.007410
4.653499,-0.132307,3.020599
4.725605,-0.032546,3.225475
4.798828,-0.024455,3.098586
4.873186,-0.070104,3.077376
4.948696,-0.005688,3.112527
5.025377,0.051173,3.379539
5.103245,0.199723,3.242433
5.182320,0.028910,3.598299
5.262620,0.037566,3.267786
5.344164,0.004736,3.699613
5.426972,-0.179315,3.605901
5.511063,0.010304,3.630815
5.596457,0.019384,3.642551
5.683174,0.260104,3.794397
5.771235,-0.005025,3.809058
5.860661,0.044811,3.982401
5.951472,0.011644,3.943669
6.043690,-0.101279,4.008392
6.137337,0.130359,4.019073
6.232435,0.091774,4.112783
6.329007,0.096204,4.213287
6.427075,-0.073302,4.076522
6.526662,0.158469,4.178770
6.627793,-0.121425,4.454999
6.730491,0.078034,4.465895
6.834780,0.239000,4.499614
6.940685,-0.078473,4.590144
7.048231,-0.035404,4.694450
7.157444,0.031857,4.678227
7.268348,-0.027769,4.728022
7.380971,-0.131779,4.900243
7.495340,0.030874,4.858803
7.611480,-0.081459,5.074641
7.729420,0.072909,4.941946
7.849188,-0.065591,5.294742
7.970811,0.182173,5.319961
8.094319,-0.050293,5.380453
8.219740,-0.003293,5.536562
8.347105,0.111174,5.689598
8.476444,-0.092327,5.710582
8.607786,0.054472,5.512510
8.741164,0.163438,5.657473
8.876609,-0.126996,5.813186
9.014152,0.053277,5.969940
9.153826,0.061897,6.112209
9.295665,0.115221,6.082455
9.439702,-0.085490,6.269790
9.585970,-0.092638,6.273182
9.734505,0.092843,6.386723
9.885341,0.071627,6.407937
10.038514,0.068299,6.558607
10.194061,0.079258,6.619716
10.352019,-0.021983,6.762905
10.512423,0.070696,7.073145
10.675313,0.078275,6.981838
10.840728,-0.020923,7.450752
11.008705,0.238684,7.349348
11.179285,0.101135,7.432800
11.352508,-0.063681,7.444608
11.528415,0.122857,7.718461
11.707048,-0.038459,7.710742
11.888449,0.139584,7.902305
12.072661,0.178660,8.269866
12.259727,-0.017280,8.129994
12.449692,0.163176,8.382293
12.642600,0.110233,8.326872
12.838497,0.153346,8.525608
13.037430,0.263074,8.840234
13.239445,0.051183,8.736671
13.444591,0.002751,9.119032
13.652915,-0.008347,9.149225
13.864467,0.001583,9.165150
14.079297,0.078097,9.429907
14.297456,0.122650,9.611556
14.518995,0.119020,9.726523
14.743967,0.176977,9.659812
14.972425,0.098561,9.899106
15.204423,0.245713,10.104593
15.440016,0.077094,10.282011
15.679259,0.378881,10.514263
15.922210,0.172843,10.635388
16.168925,0.028084,10.652234
16.419462,0.010349,10.994719
16.673882,0.169443,11.191519
16.932244,0.102730,11.363085
17.194610,0.200485,11.594768
17.461040,0.180548,11.752658
17.731599,0.130218,11.900810
18.006351,0.057239,12.036609
18.285360,-0.005003,12.069430
18.568692,0.106544,12.473617
18.856414,0.241706,12.649843
19.148594,0.182508,12.858006
19.445302,0.041725,12.908367
19.746607,0.188990,13.136618
20.052581,0.215756,13.562277
20.363296,0.094578,13.668872
20.678826,0.204267,13.960544
20.999245,0.200846,14.118567
21.324628,0.087065,14.345905
21.655054,0.243692,14.667883
21.990599,0.270765,14.757587
22.331344,0.329995,15.058037
22.677368,0.334311,15.245613
23.028755,0.098652,15.496076
23.385585,0.150381,15.760655
23.747945,0.303677,16.070287
24.115920,0.311837,16.261252
24.489597,0.320535,16.700405
24.869064,0.663171,16.755825
25.254410,0.344163,17.101913
25.645728,0.410125,17.356908
26.043109,0.401796,17.830940
26.446647,0.381706,17.996453
26.856438,0.295569,18.375853
27.272579,0.413894,18.425422
27.695168,0.272001,18.907558
28.124305,0.337290,19.282388
28.560092,0.324542,19.520060
29.002631,0.393805,19.942761
29.452027,0.630074,20.114987
29.908387,0.225342,20.644425
30.371818,0.494644,21.076582
30.842430,0.279204,21.160202
31.320333,0.408270,21.508487
31.805643,0.579897,22.061859
32.298471,0.493544,22.445075
32.798937,0.396054,22.612729
33.307157,0.449635,23.008390
33.823252,0.607113,23.415321
34.347344,0.484784,23.710053
34.879556,0.598843,24.161758
35.420016,0.601871,24.570688
35.968849,0.553043,25.020392
36.526187,0.854294,25.528610
37.092161,0.725833,25.999502
37.666905,0.483350,26.584493
38.250554,0.728855,26.792612
38.843247,0.669343,27.463817
39.445124,0.847088,27.827160
